TABLE 1.4  List of Australian Refined Diagnosis Related Groups Version 8.0

DRG	Partition	Description
J07B	S	Minor Procedures for Breast Disorders, Minor Complexity
J08A	S	Other Skin Grafts and Debridement Procedures, Major Complexity
J08B	S	Other Skin Grafts and Debridement Procedures, Intermediate Complexity
J08C	S	Other Skin Grafts and Debridement Procedures, Minor Complexity
J09Z	S	Perianal and Pilonidal Procedures
J10A	S	Plastic OR Procs for Skin, Subcutaneous Tissue and Breast Disorders, Major Comp
J10B	S	Plastic OR Procs for Skin, Subcutaneous Tissue and Breast Disorders, Minor Comp
J11A	S	Other Skin, Subcutaneous Tissue and Breast Procedures, Major Complexity
J11B	S	Other Skin, Subcutaneous Tissue and Breast Procedures, Minor Complexity
J12A	S	Lower Limb Procedures W Ulcer or Cellulitis, Major Complexity
J12B	S	Lower Limb Procedures W Ulcer or Cellulitis, Minor Complexity
J13A	S	Lower Limb Procedures W/O Ulcer or Cellulitis, Major Complexity
J13B	S	Lower Limb Procedures W/O Ulcer or Cellulitis, Minor Complexity
J14Z	S	Major Breast Reconstructions
J60A	M	Skin Ulcers, Major Complexity
J60B	M	Skin Ulcers, Intermediate Complexity
J60C	M	Skin Ulcers, Minor Complexity
J62A	M	Malignant Breast Disorders, Major Complexity
J62B	M	Malignant Breast Disorders, Minor Complexity
J63A	M	Non-Malignant Breast Disorders, Major Complexity
J63B	M	Non-Malignant Breast Disorders, Minor Complexity
J64A	M	Cellulitis, Major Complexity
J64B	M	Cellulitis, Minor Complexity
J65A	M	Trauma to Skin, Subcutaneous Tissue and Breast, Major Complexity
J65B	M	Trauma to Skin, Subcutaneous Tissue and Breast, Minor Complexity
J67A	M	Minor Skin Disorders, Major Complexity
J67B	M	Minor Skin Disorders, Minor Complexity
J68A	M	Major Skin Disorders, Major Complexity
J68B	M	Major Skin Disorders, Minor Complexity
J69A	M	Skin Malignancy, Major Complexity
J69B	M	Skin Malignancy, Intermediate Complexity
J69C	M	Skin Malignancy, Minor Complexity

MDC 10 Endocrine, Nutritional and Metabolic Diseases and Disorders		
K01A	S	OR Procedures for Diabetic Complications, Major Complexity
K01B	S	OR Procedures for Diabetic Complications, Intermediate Complexity
K01C	S	OR Procedures for Diabetic Complications, Minor Complexity
K02A	S	Pituitary Procedures, Major Complexity
K02B	S	Pituitary Procedures, Minor Complexity
K03Z	S	Adrenal Procedures
K05A	S	Parathyroid Procedures, Major Complexity
K05B	S	Parathyroid Procedures, Minor Complexity
K06A	S	Thyroid Procedures, Major Complexity
K06B	S	Thyroid Procedures, Minor Complexity
K08Z	S	Thyroglossal Procedures
K09A	S	Other Endocrine, Nutritional and Metabolic OR Procedures, Major Complexity
K09B	S	Other Endocrine, Nutritional and Metabolic OR Procedures, Minor Complexity
K10A	S	Revisional and Open Bariatric Procedures, Major Complexity
K10B	S	Revisional and Open Bariatric Procedures, Minor Complexity
K11A	S	Major Laparoscopic Bariatric Procedures, Major Complexity
K11B	S	Major Laparoscopic Bariatric Procedures, Minor Complexity
K12A	S	Other Bariatric Procedures, Major Complexity
K12B	S	Other Bariatric Procedures, Minor Complexity
K13Z	S	Plastic OR Procedures for Endocrine, Nutritional and Metabolic Disorders
K40A	O	Endoscopic and Investigative Procedures for Metabolic Disorders, Major Comp
K40B	O	Endoscopic and Investigative Procedures for Metabolic Disorders, Minor Comp
K60A	M	Diabetes, Major Complexity
K60B	M	Diabetes, Minor Complexity
K61A	M	Severe Nutritional Disturbance, Major Complexity
K61B	M	Severe Nutritional Disturbance, Minor Complexity
K62A	M	Miscellaneous Metabolic Disorders, Major Complexity
K62B	M	Miscellaneous Metabolic Disorders, Intermediate Complexity
K62C	M	Miscellaneous Metabolic Disorders, Minor Complexity
K63A	M	Inborn Errors of Metabolism, Major Complexity
K63B	M	Inborn Errors of Metabolism, Minor Complexity
K64A	M	Endocrine Disorders, Major Complexity
K64B	M	Endocrine Disorders, Minor Complexity

MDC 11 Diseases and Disorders of the Kidney and Urinary Tract		
L02A	S	Operative Insertion of Peritoneal Catheter for Dialysis, Major Complexity
L02B	S	Operative Insertion of Peritoneal Catheter for Dialysis, Minor Complexity
L03A	S	Kidney, Ureter and Major Bladder Procedures for Neoplasm, Major Complexity
L03B	S	Kidney, Ureter and Major Bladder Procedures for Neoplasm, Intermediate Comp
L03C	S	Kidney, Ureter and Major Bladder Procedures for Neoplasm, Minor Complexity
L04A	S	Kidney, Ureter and Major Bladder Procedures for Non-Neoplasm, Major Complexity
L04B	S	Kidney, Ureter and Major Bladder Procedures for Non-Neoplasm, Intermediate Comp
L04C	S	Kidney, Ureter and Major Bladder Procedures for Non-Neoplasm, Minor Complexity
L05A	S	Transurethral Prostatectomy for Urinary Disorder, Major Complexity
L05B	S	Transurethral Prostatectomy for Urinary Disorder, Minor Complexity
L06A	S	Minor Bladder Procedures, Major Complexity
L06B	S	Minor Bladder Procedures, Intermediate Complexity
L06C	S	Minor Bladder Procedures, Minor Complexity
L07A	S	Other Transurethral Procedures, Major Complexity
L07B	S	Other Transurethral Procedures, Minor Complexity
L08A	S	Urethral Procedures, Major Complexity
L08B	S	Urethral Procedures, Minor Complexity
L09A	S	Other Procedures for Kidney and Urinary Tract Disorders, Major Complexity
L09B	S	Other Procedures for Kidney and Urinary Tract Disorders, Intermediate Complexity
L09C	S	Other Procedures for Kidney and Urinary Tract Disorders, Minor Complexity
L40Z	O	Ureteroscopy
L41Z	O	Cystourethroscopy for Urinary Disorder, Sameday
L42Z	O	ESW Lithotripsy
L60A	M	Kidney Failure, Major Complexity
L60B	M	Kidney Failure, Intermediate Complexity
L60C	M	Kidney Failure, Minor Complexity
L61Z	M	Haemodialysis
L62A	M	Kidney and Urinary Tract Neoplasms, Major Complexity
L62B	M	Kidney and Urinary Tract Neoplasms, Minor Complexity
L63A	M	Kidney and Urinary Tract Infections, Major Complexity
L63B	M	Kidney and Urinary Tract Infections, Minor Complexity
L64A	M	Urinary Stones and Obstruction, Major Complexity
L64B	M	Urinary Stones and Obstruction, Minor Complexity
L65A	M	Kidney and Urinary Tract Signs and Symptoms, Major Complexity
L65B	M	Kidney and Urinary Tract Signs and Symptoms, Minor Complexity
L66Z	M	Urethral Stricture
L67A	M	Other Kidney and Urinary Tract Disorders, Major Complexity
L67B	M	Other Kidney and Urinary Tract Disorders, Intermediate Complexity
L67C	M	Other Kidney and Urinary Tract Disorders, Minor Complexity
L68Z	M	Peritoneal Dialysis

MDC 12 Diseases and Disorders of the Male Reproductive System		
M01A	S	Major Male Pelvic Procedures, Major Complexity
M01B	S	Major Male Pelvic Procedures, Minor Complexity
M02A	S	Transurethral Prostatectomy for Reproductive System Disorder, Major Complexity
M02B	S	Transurethral Prostatectomy for Reproductive System Disorder, Minor Complexity
M03A	S	Penis Procedures, Major Complexity
M03B	S	Penis Procedures, Minor Complexity
M04Z	S	Testes Procedures
M05Z	S	Circumcision
M06A	S	Other Male Reproductive System OR Procedures, Major Complexity
M06B	S	Other Male Reproductive System OR Procedures, Minor Complexity
M40Z	O	Cystourethroscopy for Male Reproductive System Disorder, Sameday
M60A	M	Male Reproductive System Malignancy, Major Complexity
M60B	M	Male Reproductive System Malignancy, Minor Complexity
M61A	M	Benign Prostatic Hypertrophy, Major Complexity
M61B	M	Benign Prostatic Hypertrophy, Minor Complexity
M62A	M	Male Reproductive System Inflammation, Major Complexity
M62B	M	Male Reproductive System Inflammation, Minor Complexity
M63Z	M	Male Sterilisation Procedures
M64A	M	Other Male Reproductive System Disorders, Major Complexity
M64B	M	Other Male Reproductive System Disorders, Minor Complexity

MDC 13 Diseases and Disorders of the Female Reproductive System		
N01A	S	Pelvic Evisceration and Radical Vulvectomy, Major Complexity
N01B	S	Pelvic Evisceration and Radical Vulvectomy, Minor Complexity
N04A	S	Hysterectomy for Non-Malignancy, Major Complexity
N04B	S	Hysterectomy for Non-Malignancy, Minor Complexity
N05A	S	Oophorectomy and Complex Fallopian Tube Procedures for Non-Malignancy, Maj Comp
N05B	S	Oophorectomy and Complex Fallopian Tube Procedures for Non-Malignancy, Min Comp
N06A	S	Female Reproductive System Reconstructive Procedures, Major Complexity
N06B	S	Female Reproductive System Reconstructive Procedures, Minor Complexity
N07A	S	Other Uterus and Adnexa Procedures for Non-Malignancy, Major Complexity
N07B	S	Other Uterus and Adnexa Procedures for Non-Malignancy, Minor Complexity
N08Z	S	Endoscopic and Laparoscopic Procedures, Female Reproductive System
N09Z	S	Other Vagina, Cervix and Vulva Procedures
N10Z	S	Diagnostic Curettage and Diagnostic Hysteroscopy
N11A	S	Other Female Reproductive System OR Procedures, Major Complexity
N11B	S	Other Female Reproductive System OR Procedures, Minor Complexity
N12A	S	Uterus and Adnexa Procedures for Malignancy, Major Complexity
N12B	S	Uterus and Adnexa Procedures for Malignancy, Intermediate Complexity
N12C	S	Uterus and Adnexa Procedures for Malignancy, Minor Complexity
N60A	M	Female Reproductive System Malignancy, Major Complexity
N60B	M	Female Reproductive System Malignancy, Minor Complexity
N61A	M	Female Reproductive System Infections, Major Complexity
N61B	M	Female Reproductive System Infections, Minor Complexity
N62A	M	Menstrual and Other Female Reproductive System Disorders, Major Complexity
N62B	M	Menstrual and Other Female Reproductive System Disorders, Minor Complexity

MDC 14 Pregnancy, Childbirth and the Puerperium		
O01A	S	Caesarean Delivery, Major Complexity
O01B	S	Caesarean Delivery, Intermediate Complexity
O01C	S	Caesarean Delivery, Minor Complexity
O02A	S	Vaginal Delivery W OR Procedures, Major Complexity
O02B	S	Vaginal Delivery W OR Procedures, Minor Complexity
O03A	S	Ectopic Pregnancy, Major Complexity
O03B	S	Ectopic Pregnancy, Minor Complexity
O04A	S	Postpartum and Post Abortion W OR Procedures, Major Complexity
O04B	S	Postpartum and Post Abortion W OR Procedures, Minor Complexity
O05Z	S	Abortion W OR Procedures
O60A	M	Vaginal Delivery, Major Complexity
O60B	M	Vaginal Delivery, Intermediate Complexity
O60C	M	Vaginal Delivery, Minor Complexity
O61A	M	Postpartum and Post Abortion W/O OR Procedures, Major Complexity
O61B	M	Postpartum and Post Abortion W/O OR Procedures, Minor Complexity
O63A	M	Abortion W/O OR Procedures, Major Complexity
O63B	M	Abortion W/O OR Procedures, Minor Complexity
O66A	M	Antenatal and Other Obstetric Admissions, Major Complexity
O66B	M	Antenatal and Other Obstetric Admissions, Minor Complexity

MDC 15 Newborns and Other Neonates		
P01Z	S	Neonate W Sig OR Proc/Vent>=96hrs, Died or Transfer to Acute Facility <5Days
P02Z	S	Cardiothoracic and Vascular Procedures for Neonates
P03A	S	Neonate, AdmWt 1000-1499g W Significant OR Proc/Vent>=96hrs, Major Complexity
P03B	S	Neonate, AdmWt 1000-1499g W Significant OR Proc/Vent>=96hrs, Minor Complexity
P04A	S	Neonate, AdmWt 1500-1999g W Significant OR Proc/Vent>=96hrs, Major Complexity
P04B	S	Neonate, AdmWt 1500-1999g W Significant OR Proc/Vent>=96hrs, Minor Complexity
P05A	S	Neonate, AdmWt 2000-2499g W Significant OR Proc/Vent>=96hrs, Major Complexity
P05B	S	Neonate, AdmWt 2000-2499g W Significant OR Proc/Vent>=96hrs, Minor Complexity
P06A	S	Neonate, AdmWt >=2500g W Significant OR Proc/Vent>=96hrs, Major Complexity
P06B	S	Neonate, AdmWt >=2500g W Significant OR Proc/Vent>=96hrs, Minor Complexity
P07Z	S	Neonate, AdmWt <750g W Significant OR Procedures
P08Z	S	Neonate, AdmWt 750-999g W Significant OR Procedures
P60A	M	Neonate W/O Sig OR/Vent>=96hrs, Died/Transfer Acute Facility <5 Days, MajC
P60B	M	Neonate W/O Sig OR/Vent>=96hrs, Died/Transfer Acute Facility <5 Days, MinC
P61Z	M	Neonate, AdmWt <750g W/O Significant OR procedure
P62A	M	Neonate, AdmWt 750-999g W/O Significant OR Procedures, Major Complexity
P62B	M	Neonate, AdmWt 750-999g W/O Significant OR Procedures, Minor Complexity
P63A	M	Neonate, AdmWt 1000-1249g W/O Significant OR Proc/Vent>=96hrs, Major Complexity
P63B	M	Neonate, AdmWt 1000-1249g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity
P64A	M	Neonate, AdmWt 1250-1499g W/O Significant OR Proc/Vent>=96hrs, Major Complexity
P64B	M	Neonate, AdmWt 1250-1499g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity
P65A	M	Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Extreme Comp
P65B	M	Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Major Complexity
P65C	M	Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Intermediate Comp
P65D	M	Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity
P66A	M	Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Extreme Comp
P66B	M	Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Major Complexity
P66C	M	Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Intermediate Comp
P66D	M	Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity
P67A	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Extr Comp
P67B	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Maj Comp
P67C	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Int Comp
P67D	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Min Comp
P68A	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Ext Comp
P68B	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Maj Comp
P68C	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Int Comp
P68D	M	Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Min Comp

MDC 16 Diseases and Disorders of Blood, Blood Forming Organs, Immunological Disorders		
Q01A	S	Splenectomy, Major Complexity
Q01B	S	Splenectomy, Minor Complexity
Q02A	S	Blood and Immune System Disorders W Other OR Procedures, Major Complexity
Q02B	S	Blood and Immune System Disorders W Other OR Procedures, Minor Complexity
Q60A	M	Reticuloendothelial and Immunity Disorders, Major Complexity
Q60B	M	Reticuloendothelial and Immunity Disorders, Minor Complexity
Q61A	M	Red Blood Cell Disorders, Major Complexity
Q61B	M	Red Blood Cell Disorders, Intermediate Complexity
Q61C	M	Red Blood Cell Disorders, Minor Complexity
Q62A	M	Coagulation Disorders, Major Complexity
Q62B	M	Coagulation Disorders, Minor Complexity

MDC 17 Neoplastic Disorders (Haematological and Solid Neoplasms)		
R01A	S	Lymphoma and Leukaemia W Major OR Procedures, Major Complexity
R01B	S	Lymphoma and Leukaemia W Major OR Procedures, Minor Complexity
R02A	S	Other Neoplastic Disorders W Major OR Procedures, Major Complexity
R02B	S	Other Neoplastic Disorders W Major OR Procedures, Intermediate Complexity
R02C	S	Other Neoplastic Disorders W Major OR Procedures, Minor Complexity
R03A	S	Lymphoma and Leukaemia W Other OR Procedures, Major Complexity
R03B	S	Lymphoma and Leukaemia W Other OR Procedures, Intermediate Complexity
R03C	S	Lymphoma and Leukaemia W Other OR Procedures, Minor Complexity
R04A	S	Other Neoplastic Disorders W Other OR Procedures, Major Complexity
R04B	S	Other Neoplastic Disorders W Other OR Procedures, Minor Complexity
R60A	M	Acute Leukaemia, Major Complexity
R60B	M	Acute Leukaemia, Minor Complexity
R61A	M	Lymphoma and Non-Acute Leukaemia, Major Complexity
R61B	M	Lymphoma and Non-Acute Leukaemia, Minor Complexity
R62A	M	Other Neoplastic Disorders, Major Complexity
R62B	M	Other Neoplastic Disorders, Intermediate Complexity
R62C	M	Other Neoplastic Disorders, Minor Complexity
R63Z	M	Chemotherapy

MDC 18 Infectious and Parasitic Diseases, Systemic or Unspecified Sites		
S65A	M	Human Immunodeficiency Virus, Major Complexity
S65B	M	Human Immunodeficiency Virus, Intermediate Complexity
S65C	M	Human Immunodeficiency Virus, Minor Complexity
T01A	S	Infectious and Parasitic Diseases W OR Procedures, Major Complexity
T01B	S	Infectious and Parasitic Diseases W OR Procedures, Intermediate Complexity
T01C	S	Infectious and Parasitic Diseases W OR Procedures, Minor Complexity
T40Z	O	Infectious and Parasitic Diseases W Ventilator Support
T60A	M	Septicaemia, Major Complexity
T60B	M	Septicaemia, Intermediate Complexity
T60C	M	Septicaemia, Minor Complexity
T61A	M	Postoperative and Post-Traumatic Infections, Major Complexity
T61B	M	Postoperative and Post-Traumatic Infections, Minor Complexity
T62A	M	Fever of Unknown Origin, Major Complexity
T62B	M	Fever of Unknown Origin, Minor Complexity
T63A	M	Viral Illnesses, Major Complexity
T63B	M	Viral Illnesses, Minor Complexity
T64A	M	Other Infectious and Parasitic Diseases, Major Complexity
T64B	M	Other Infectious and Parasitic Diseases, Intermediate Complexity
T64C	M	Other Infectious and Parasitic Diseases, Minor Complexity

MDC 19 Mental Diseases and Disorders		
U40Z	O	Mental Health Treatment W ECT, Sameday
U60A	M	Mental Health Treatment W/O ECT, Sameday, Major Complexity
U60B	M	Mental Health Treatment W/O ECT, Sameday, Minor Complexity
U61A	M	Schizophrenia Disorders, Major Complexity
U61B	M	Schizophrenia Disorders, Minor Complexity
U62A	M	Paranoia and Acute Psychotic Disorders, Major Complexity
U62B	M	Paranoia and Acute Psychotic Disorders, Minor Complexity
U63A	M	Major Affective Disorders, Major Complexity
U63B	M	Major Affective Disorders, Minor Complexity
U64A	M	Other Affective and Somatoform Disorders, Major Complexity
U64B	M	Other Affective and Somatoform Disorders, Minor Complexity
U65A	M	Anxiety Disorders, Major Complexity
U65B	M	Anxiety Disorders, Minor Complexity
U66A	M	Eating and Obsessive-Compulsive Disorders, Major Complexity
U66B	M	Eating and Obsessive-Compulsive Disorders, Minor Complexity
U67A	M	Personality Disorders and Acute Reactions, Major Complexity
U67B	M	Personality Disorders and Acute Reactions, Minor Complexity
U68A	M	Childhood Mental Disorders, Major Complexity
U68B	M	Childhood Mental Disorders, Minor Complexity

MDC 20 Alcohol/Drug Use and Alcohol/Drug Induced Organic Mental Disorders		
V60A	M	Alcohol Intoxication and Withdrawal, Major Complexity
V60B	M	Alcohol Intoxication and Withdrawal, Minor Complexity
V61A	M	Drug Intoxication and Withdrawal, Major Complexity
V61B	M	Drug Intoxication and Withdrawal, Minor Complexity
V62A	M	Alcohol Use and Dependence, Major Complexity
V62B	M	Alcohol Use and Dependence, Minor Complexity
V63Z	M	Opioid Use and Dependence
V64Z	M	Other Drug Use and Dependence
V65Z	M	Treatment for Alcohol Disorders, Sameday
V66Z	M	Treatment for Drug Disorders, Sameday

MDC 21 Injuries, Poisonings and Toxic Effects of Drugs		
W01A	S	Vent, Trac & Cran Procs for Mult Sig Trauma, Major Complexity
W01B	S	Vent, Trac & Cran Procs for Mult Sig Trauma, Intermediate Complexity
W01C	S	Vent, Trac & Cran Procs for Mult Sig Trauma, Minor Complexity
W02A	S	Hip, Femur and Lower Limb Procedures for Multiple Sig Trauma, Major Complexity
W02B	S	Hip, Femur and Lower Limb Procedures for Multiple Sig Trauma, Minor Complexity
W03Z	S	Abdominal Procedures for Multiple Significant Trauma
W04A	S	Multiple Significant Trauma W Other OR Procedures, Major Complexity
W04B	S	Multiple Significant Trauma W Other OR Procedures, Minor Complexity
W60A	M	Multiple Sig Trauma, Died or Transferred to Acute Facility <5 Days, Major Comp
W60B	M	Multiple Sig Trauma, Died or Transferred to Acute Facility <5 Days, Minor Comp
W61A	M	Multiple Significant Trauma W/O OR Procedures, Major Complexity
W61B	M	Multiple Significant Trauma W/O OR Procedures, Minor Complexity
X02A	S	Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Major Comp
X02B	S	Microvascular Tissue Transfer and Skin Grafts for Injuries to Hand, Minor Comp
X04A	S	Other Procedures for Injuries to Lower Limb, Major Complexity
X04B	S	Other Procedures for Injuries to Lower Limb, Minor Complexity
X05A	S	Other Procedures for Injuries to Hand, Major Complexity
X05B	S	Other Procedures for Injuries to Hand, Minor Complexity
X06A	S	Other Procedures for Other Injuries, Major Complexity
X06B	S	Other Procedures for Other Injuries, Intermediate Complexity
X06C	S	Other Procedures for Other Injuries, Minor Complexity
X07A	S	Skin Grafts for Injuries Excluding Hand, Major Complexity
X07B	S	Skin Grafts for Injuries Excluding Hand, Intermediate Complexity
X07C	S	Skin Grafts for Injuries Excluding Hand, Minor Complexity
X40A	O	Injuries, Poisoning and Toxic Effects of Drugs W Ventilator Support, Major Comp
X40B	O	Injuries, Poisoning and Toxic Effects of Drugs W Ventilator Support, Minor Comp
X60A	M	Injuries, Major Complexity
X60B	M	Injuries, Minor Complexity
X61A	M	Allergic Reactions, Major Complexity
X61B	M	Allergic Reactions, Minor Complexity
X62A	M	Poisoning/Toxic Effects of Drugs and Other Substances, Major Complexity
X62B	M	Poisoning/Toxic Effects of Drugs and Other Substances, Minor Complexity
X63A	M	Sequelae of Treatment, Major Complexity
X63B	M	Sequelae of Treatment, Minor Complexity
X64A	M	Other Injuries, Poisonings and Toxic Effects, Major Complexity
X64B	M	Other Injuries, Poisonings and Toxic Effects, Minor Complexity

MDC 22 Burns		
Y01Z	S	Vent >=96hrs or Trach for Burns or OR Procs for Severe Full Thickness Burns
Y02A	S	Skin Grafts for Other Burns, Major Complexity
Y02B	S	Skin Grafts for Other Burns, Intermediate Complexity
Y02C	S	Skin Grafts for Other Burns, Minor Complexity
Y03A	S	Other OR Procedures for Other Burns, Major Complexity
Y03B	S	Other OR Procedures for Other Burns, Minor Complexity
Y60Z	M	Burns, Transferred to Acute Facility <5 Days
Y61Z	M	Severe Burns
Y62A	M	Other Burns, Major Complexity
Y62B	M	Other Burns, Minor Complexity

MDC 23 Factors Influencing Health Status and Other Contacts with Health Services		
Z01A	S	Other Contacts W Health Services W OR Procedures, Major Complexity
Z01B	S	Other Contacts W Health Services W OR Procedures, Minor Complexity
Z40Z	O	Other Contacts W Health Services W Endoscopy, Sameday
Z60A	M	Rehabilitation, Major Complexity
Z60B	M	Rehabilitation, Minor Complexity
Z61A	M	Signs and Symptoms, Major Complexity
Z61B	M	Signs and Symptoms, Intermediate Complexity
Z61C	M	Signs and Symptoms, Minor Complexity
Z63A	M	Other Follow Up After Surgery or Medical Care, Major Complexity
Z63B	M	Other Follow Up After Surgery or Medical Care, Minor Complexity
Z64A	M	Other Factors Influencing Health Status, Major Complexity
Z64B	M	Other Factors Influencing Health Status, Minor Complexity
Z65Z	M	Congenital Anomalies and Problems Arising from Neonatal Period
Z66Z	M	Sleep Disorders

Unrelated OR Procedures		
801A	S	OR Procedures Unrelated to Principal Diagnosis, Major Complexity
801B	S	OR Procedures Unrelated to Principal Diagnosis, Intermediate Complexity
801C	S	OR Procedures Unrelated to Principal Diagnosis, Minor Complexity

Error DRGs		
960Z	M	Ungroupable
961Z	M	Unacceptable Principal Diagnosis
963Z	M	Neonatal Diagnosis Not Consistent W Age/Weight
