id, alive, drg_code, description
"372", "1", "I04B",  "Knee Replacement, Minor Complexity"
"373", "1", "I05A",  "Other Joint Replacement, Major Complexity"
"374", "1", "I05B",  "Other Joint Replacement, Minor Complexity"
"375", "1", "I06Z",  "Spinal Fusion for Deformity"
"376", "1", "I07Z",  "Amputation"
"377", "1", "I08A",  "Other Hip and Femur Procedures, Major Complexity"
"378", "1", "I08B",  "Other Hip and Femur Procedures, Minor Complexity"
"379", "1", "I09A",  "Spinal Fusion, Major Complexity"
"380", "1", "I09B",  "Spinal Fusion, Intermediate Complexity"
"381", "1", "I09C",  "Spinal Fusion, Minor Complexity"
"382", "1", "I10A",  "Other Back and Neck Procedures, Major Complexity"
"383", "1", "I10B",  "Other Back and Neck Procedures, Minor Complexity"
"384", "1", "I11Z",  "Limb Lengthening Procedures"
"385", "1", "I12A",  "Misc Musculoskeletal Procs for Infect/Inflam of Bone/Joint, Major Complexity"
"386", "1", "I12B",  "Misc Musculoskeletal Procs for Infect/Inflam of Bone/Joint, Intermediate Comp"
"387", "1", "I12C",  "Misc Musculoskeletal Procs for Infect/Inflam of Bone/Joint, Minor Complexity"
"388", "1", "I13A",  "Humerus, Tibia, Fibula and Ankle Procedures, Major Complexity"
"389", "1", "I13B",  "Humerus, Tibia, Fibula and Ankle Procedures, Minor Complexity"
"390", "1", "I15A",  "Cranio-Facial Surgery, Major Complexity"
"391", "1", "I15B",  "Cranio-Facial Surgery, Minor Complexity"
"392", "1", "I16Z",  "Other Shoulder Procedures"
"393", "1", "I17A",  "Maxillo-Facial Surgery, Major Complexity"
"394", "1", "I17B",  "Maxillo-Facial Surgery, Minor Complexity"
"395", "1", "I18A",  "Other Knee Procedures, Major Complexity"
"396", "1", "I18B",  "Other Knee Procedures, Minor Complexity"
"397", "1", "I19A",  "Other Elbow and Forearm Procedures, Major Complexity"
"398", "1", "I19B",  "Other Elbow and Forearm Procedures, Minor Complexity"
"399", "1", "I20A",  "Other Foot Procedures, Major Complexity"
"400", "1", "I20B",  "Other Foot Procedures, Minor Complexity"
"401", "1", "I21Z",  "Local Excision and Removal of Internal Fixation Devices of Hip and Femur"
"402", "1", "I23A",  "Local Excision & Removal of Internal Fixation Device, Except Hip & Fmr, Maj Comp"
"403", "1", "I23B",  "Local Excision & Removal of Internal Fixation Device, Except Hip & Fmr, Min Comp"
"404", "1", "I24A",  "Arthroscopy, Major Complexity"
"405", "1", "I24B",  "Arthroscopy, Minor Complexity"
"406", "1", "I25A",  "Bone and Joint Diagnostic Procedures Including Biopsy, Major Complexity"
"407", "1", "I25B",  "Bone and Joint Diagnostic Procedures Including Biopsy, Minor Complexity"
"408", "1", "I27A",  "Soft Tissue Procedures, Major Complexity"
"409", "1", "I27B",  "Soft Tissue Procedures, Minor Complexity"
"410", "1", "I28A",  "Other Musculoskeletal Procedures, Major Complexity"
"411", "1", "I28B",  "Other Musculoskeletal Procedures, Intermediate Complexity"
"412", "1", "I28C",  "Other Musculoskeletal Procedures, Minor Complexity"
"413", "1", "I29Z",  "Knee Reconstructions, and Revisions of Reconstructions"
"414", "1", "I30Z",  "Hand Procedures"
"415", "1", "I31A",  "Revision of Hip Replacement, Major Complexity"
"416", "1", "I31B",  "Revision of Hip Replacement, Intermediate Complexity"
"417", "1", "I31C",  "Revision of Hip Replacement, Minor Complexity"
"418", "1", "I32A",  "Revision of Knee Replacement, Major Complexity"
"419", "1", "I32B",  "Revision of Knee Replacement, Minor Complexity"
"420", "1", "I40Z",  "Infusions for Musculoskeletal Disorders, Sameday"
"421", "1", "I60Z",  "Femoral Shaft Fractures"
"422", "1", "I61A",  "Distal Femoral Fractures, Major Complexity"
"423", "1", "I61B",  "Distal Femoral Fractures, Minor Complexity"
"424", "1", "I63A",  "Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Major Complexity"
"425", "1", "I63B",  "Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Minor Complexity"
"426", "1", "I64A",  "Osteomyelitis, Major Complexity"
"427", "1", "I64B",  "Osteomyelitis, Minor Complexity"
"428", "1", "I65A",  "Musculoskeletal Malignant Neoplasms, Major Complexity"
"429", "1", "I65B",  "Musculoskeletal Malignant Neoplasms, Minor Complexity"
"430", "1", "I66A",  "Inflammatory Musculoskeletal Disorders, Major Complexity"
"431", "1", "I66B",  "Inflammatory Musculoskeletal Disorders, Intermediate Complexity"
"432", "1", "I66C",  "Inflammatory Musculoskeletal Disorders, Minor Complexity"
"433", "1", "I67A",  "Septic Arthritis, Major Complexity"
"434", "1", "I67B",  "Septic Arthritis, Minor Complexity"
"435", "1", "I68A",  "Non-surgical Spinal Disorders, Major Complexity"
"436", "1", "I68B",  "Non-surgical Spinal Disorders, Minor Complexity"
"437", "1", "I69A",  "Bone Diseases and Arthropathies, Major Complexity"
"438", "1", "I69B",  "Bone Diseases and Arthropathies, Minor Complexity"
"439", "1", "I71A",  "Other Musculotendinous Disorders, Major Complexity"
"440", "1", "I71B",  "Other Musculotendinous Disorders, Minor Complexity"
"441", "1", "I72A",  "Specific Musculotendinous Disorders, Major Complexity"
"442", "1", "I72B",  "Specific Musculotendinous Disorders, Minor Complexity"
"443", "1", "I73A",  "Aftercare of Musculoskeletal Implants or Prostheses, Major Complexity"
"444", "1", "I73B",  "Aftercare of Musculoskeletal Implants or Prostheses, Minor Complexity"
"445", "1", "I74A",  "Injuries to Forearm, Wrist, Hand and Foot, Major Complexity"
"446", "1", "I74B",  "Injuries to Forearm, Wrist, Hand and Foot, Minor Complexity"
"447", "1", "I75A",  "Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Major Complexity"
"448", "1", "I75B",  "Injuries to Shoulder, Arm, Elbow, Knee, Leg and Ankle, Minor Complexity"
"449", "1", "I76A",  "Other Musculoskeletal Disorders, Major Complexity"
"450", "1", "I76B",  "Other Musculoskeletal Disorders, Intermediate Complexity"
"451", "1", "I76C",  "Other Musculoskeletal Disorders, Minor Complexity"
"452", "1", "I77A",  "Fractures of Pelvis, Major Complexity"
"453", "1", "I77B",  "Fractures of Pelvis, Minor Complexity"
"454", "1", "I78A",  "Fractures of Neck of Femur, Major Complexity"
"455", "1", "I78B",  "Fractures of Neck of Femur, Minor Complexity"
"456", "1", "I79A",  "Pathological Fractures, Major Complexity"
"457", "1", "I79B",  "Pathological Fractures, Minor Complexity"
"458", "1", "I80Z",  "Femoral Fractures, Transferred to Acute Facility <2 Days"
"459", "1", "I81Z",  "Musculoskeletal Injuries, Sameday"
"460", "1", "I82Z",  "Other Sameday Treatment for Musculoskeletal Disorders"
"461", "1", "J01A",  "Microvas Tiss Transf for Skin, Subcut Tiss & Breast Dsrds, Major Complexity"
"462", "1", "J01B",  "Microvas Tiss Transf for Skin, Subcut Tiss & Breast Dsrds, Minor Complexity"
"463", "1", "J06A",  "Major Procedures for Breast Disorders, Major Complexity"
"464", "1", "J06B",  "Major Procedures for Breast Disorders, Minor Complexity"
"465", "1", "J07A",  "Minor Procedures for Breast Disorders, Major Complexity"
"466", "1", "J07B",  "Minor Procedures for Breast Disorders, Minor Complexity"
"467", "1", "J08A",  "Other Skin Grafts and Debridement Procedures, Major Complexity"
"468", "1", "J08B",  "Other Skin Grafts and Debridement Procedures, Intermediate Complexity"
"469", "1", "J08C",  "Other Skin Grafts and Debridement Procedures, Minor Complexity"
"470", "1", "J09Z",  "Perianal and Pilonidal Procedures"
"471", "1", "J10A",  "Plastic OR Procs for Skin, Subcutaneous Tissue and Breast Disorders, Major Comp"
"472", "1", "J10B",  "Plastic OR Procs for Skin, Subcutaneous Tissue and Breast Disorders, Minor Comp"
"473", "1", "J11A",  "Other Skin, Subcutaneous Tissue and Breast Procedures, Major Complexity"
"474", "1", "J11B",  "Other Skin, Subcutaneous Tissue and Breast Procedures, Minor Complexity"
"475", "1", "J12A",  "Lower Limb Procedures W Ulcer or Cellulitis, Major Complexity"
"476", "1", "J12B",  "Lower Limb Procedures W Ulcer or Cellulitis, Minor Complexity"
"477", "1", "J13A",  "Lower Limb Procedures W/O Ulcer or Cellulitis, Major Complexity"
"478", "1", "J13B",  "Lower Limb Procedures W/O Ulcer or Cellulitis, Minor Complexity"
"479", "1", "J14Z",  "Major Breast Reconstructions"
"480", "1", "J60A",  "Skin Ulcers, Major Complexity"
"481", "1", "J60B",  "Skin Ulcers, Intermediate Complexity"
"482", "1", "J60C",  "Skin Ulcers, Minor Complexity"
"483", "1", "J62A",  "Malignant Breast Disorders, Major Complexity"
"484", "1", "J62B",  "Malignant Breast Disorders, Minor Complexity"
"485", "1", "J63A",  "Non-Malignant Breast Disorders, Major Complexity"
"486", "1", "J63B",  "Non-Malignant Breast Disorders, Minor Complexity"
"487", "1", "J64A",  "Cellulitis, Major Complexity"
"488", "1", "J64B",  "Cellulitis, Minor Complexity"
"489", "1", "J65A",  "Trauma to Skin, Subcutaneous Tissue and Breast, Major Complexity"
"490", "1", "J65B",  "Trauma to Skin, Subcutaneous Tissue and Breast, Minor Complexity"
"491", "1", "J67A",  "Minor Skin Disorders, Major Complexity"
"492", "1", "J67B",  "Minor Skin Disorders, Minor Complexity"
"493", "1", "J68A",  "Major Skin Disorders, Major Complexity"
"494", "1", "J68B",  "Major Skin Disorders, Minor Complexity"
"495", "1", "J69A",  "Skin Malignancy, Major Complexity"
"496", "1", "J69B",  "Skin Malignancy, Intermediate Complexity"
"497", "1", "J69C",  "Skin Malignancy, Minor Complexity"
"498", "1", "K01A",  "OR Procedures for Diabetic Complications, Major Complexity"
"499", "1", "K01B",  "OR Procedures for Diabetic Complications, Intermediate Complexity"
"500", "1", "K01C",  "OR Procedures for Diabetic Complications, Minor Complexity"
"501", "1", "K02A",  "Pituitary Procedures, Major Complexity"
"502", "1", "K02B",  "Pituitary Procedures, Minor Complexity"
"503", "1", "K03Z",  "Adrenal Procedures"
"504", "1", "K05A",  "Parathyroid Procedures, Major Complexity"
"505", "1", "K05B",  "Parathyroid Procedures, Minor Complexity"
"506", "1", "K06A",  "Thyroid Procedures, Major Complexity"
"507", "1", "K06B",  "Thyroid Procedures, Minor Complexity"
"508", "1", "K08Z",  "Thyroglossal Procedures"
"509", "1", "K09A",  "Other Endocrine, Nutritional and Metabolic OR Procedures, Major Complexity"
"510", "1", "K09B",  "Other Endocrine, Nutritional and Metabolic OR Procedures, Minor Complexity"
"511", "1", "K10A",  "Revisional and Open Bariatric Procedures, Major Complexity"
"512", "1", "K10B",  "Revisional and Open Bariatric Procedures, Minor Complexity"
"513", "1", "K11A",  "Major Laparoscopic Bariatric Procedures, Major Complexity"
"514", "1", "K11B",  "Major Laparoscopic Bariatric Procedures, Minor Complexity"
"515", "1", "K12A",  "Other Bariatric Procedures, Major Complexity"
"516", "1", "K12B",  "Other Bariatric Procedures, Minor Complexity"
"517", "1", "K13Z",  "Plastic OR Procedures for Endocrine, Nutritional and Metabolic Disorders"
"518", "1", "K40A",  "Endoscopic and Investigative Procedures for Metabolic Disorders, Major Comp"
"519", "1", "K40B",  "Endoscopic and Investigative Procedures for Metabolic Disorders, Minor Comp"
"520", "1", "K60A",  "Diabetes, Major Complexity"
"521", "1", "K60B",  "Diabetes, Minor Complexity"
"522", "1", "K61A",  "Severe Nutritional Disturbance, Major Complexity"
"523", "1", "K61B",  "Severe Nutritional Disturbance, Minor Complexity"
"524", "1", "K62A",  "Miscellaneous Metabolic Disorders, Major Complexity"
"525", "1", "K62B",  "Miscellaneous Metabolic Disorders, Intermediate Complexity"
"526", "1", "K62C",  "Miscellaneous Metabolic Disorders, Minor Complexity"
"527", "1", "K63A",  "Inborn Errors of Metabolism, Major Complexity"
"528", "1", "K63B",  "Inborn Errors of Metabolism, Minor Complexity"
"529", "1", "K64A",  "Endocrine Disorders, Major Complexity"
"530", "1", "K64B",  "Endocrine Disorders, Minor Complexity"
"531", "1", "L02A",  "Operative Insertion of Peritoneal Catheter for Dialysis, Major Complexity"
"532", "1", "L02B",  "Operative Insertion of Peritoneal Catheter for Dialysis, Minor Complexity"
"533", "1", "L03A",  "Kidney, Ureter and Major Bladder Procedures for Neoplasm, Major Complexity"
"534", "1", "L03B",  "Kidney, Ureter and Major Bladder Procedures for Neoplasm, Intermediate Comp"
"535", "1", "L03C",  "Kidney, Ureter and Major Bladder Procedures for Neoplasm, Minor Complexity"
"536", "1", "L04A",  "Kidney, Ureter and Major Bladder Procedures for Non-Neoplasm, Major Complexity"
"537", "1", "L04B",  "Kidney, Ureter and Major Bladder Procedures for Non-Neoplasm, Intermediate Comp"
"538", "1", "L04C",  "Kidney, Ureter and Major Bladder Procedures for Non-Neoplasm, Minor Complexity"
"539", "1", "L05A",  "Transurethral Prostatectomy for Urinary Disorder, Major Complexity"
"540", "1", "L05B",  "Transurethral Prostatectomy for Urinary Disorder, Minor Complexity"
"541", "1", "L06A",  "Minor Bladder Procedures, Major Complexity"
"542", "1", "L06B",  "Minor Bladder Procedures, Intermediate Complexity"
"543", "1", "L06C",  "Minor Bladder Procedures, Minor Complexity"
"544", "1", "L07A",  "Other Transurethral Procedures, Major Complexity"
"545", "1", "L07B",  "Other Transurethral Procedures, Minor Complexity"
"546", "1", "L08A",  "Urethral Procedures, Major Complexity"
"547", "1", "L08B",  "Urethral Procedures, Minor Complexity"
"548", "1", "L09A",  "Other Procedures for Kidney and Urinary Tract Disorders, Major Complexity"
"549", "1", "L09B",  "Other Procedures for Kidney and Urinary Tract Disorders, Intermediate Complexity"
"550", "1", "L09C",  "Other Procedures for Kidney and Urinary Tract Disorders, Minor Complexity"
"551", "1", "L40Z",  "Ureteroscopy"
"552", "1", "L41Z",  "Cystourethroscopy for Urinary Disorder, Sameday"
"553", "1", "L42Z",  "ESW Lithotripsy"
"554", "1", "L60A",  "Kidney Failure, Major Complexity"
"555", "1", "L60B",  "Kidney Failure, Intermediate Complexity"
"556", "1", "L60C",  "Kidney Failure, Minor Complexity"
"557", "1", "L61Z",  "Haemodialysis"
"558", "1", "L62A",  "Kidney and Urinary Tract Neoplasms, Major Complexity"
"559", "1", "L62B",  "Kidney and Urinary Tract Neoplasms, Minor Complexity"
"560", "1", "L63A",  "Kidney and Urinary Tract Infections, Major Complexity"
"561", "1", "L63B",  "Kidney and Urinary Tract Infections, Minor Complexity"
"562", "1", "L64A",  "Urinary Stones and Obstruction, Major Complexity"
"563", "1", "L64B",  "Urinary Stones and Obstruction, Minor Complexity"
"564", "1", "L65A",  "Kidney and Urinary Tract Signs and Symptoms, Major Complexity"
"565", "1", "L65B",  "Kidney and Urinary Tract Signs and Symptoms, Minor Complexity"
"566", "1", "L66Z",  "Urethral Stricture"
"567", "1", "L67A",  "Other Kidney and Urinary Tract Disorders, Major Complexity"
"568", "1", "L67B",  "Other Kidney and Urinary Tract Disorders, Intermediate Complexity"
"569", "1", "L67C",  "Other Kidney and Urinary Tract Disorders, Minor Complexity"
"570", "1", "L68Z",  "Peritoneal Dialysis"
"571", "1", "M01A",  "Major Male Pelvic Procedures, Major Complexity"
"572", "1", "M01B",  "Major Male Pelvic Procedures, Minor Complexity"
"573", "1", "M02A",  "Transurethral Prostatectomy for Reproductive System Disorder, Major Complexity"
"574", "1", "M02B",  "Transurethral Prostatectomy for Reproductive System Disorder, Minor Complexity"
"575", "1", "M03A",  "Penis Procedures, Major Complexity"
"576", "1", "M03B",  "Penis Procedures, Minor Complexity"
"577", "1", "M04Z",  "Testes Procedures"
"578", "1", "M05Z",  "Circumcision"
"579", "1", "M06A",  "Other Male Reproductive System OR Procedures, Major Complexity"
"580", "1", "M06B",  "Other Male Reproductive System OR Procedures, Minor Complexity"
"581", "1", "M40Z",  "Cystourethroscopy for Male Reproductive System Disorder, Sameday"
"582", "1", "M60A",  "Male Reproductive System Malignancy, Major Complexity"
"583", "1", "M60B",  "Male Reproductive System Malignancy, Minor Complexity"
"584", "1", "M61A",  "Benign Prostatic Hypertrophy, Major Complexity"
"585", "1", "M61B",  "Benign Prostatic Hypertrophy, Minor Complexity"
"586", "1", "M62A",  "Male Reproductive System Inflammation, Major Complexity"
"587", "1", "M62B",  "Male Reproductive System Inflammation, Minor Complexity"
"588", "1", "M63Z",  "Male Sterilisation Procedures"
"589", "1", "M64A",  "Other Male Reproductive System Disorders, Major Complexity"
"590", "1", "M64B",  "Other Male Reproductive System Disorders, Minor Complexity"
"591", "1", "N01A",  "Pelvic Evisceration and Radical Vulvectomy, Major Complexity"
"592", "1", "N01B",  "Pelvic Evisceration and Radical Vulvectomy, Minor Complexity"
"593", "1", "N04A",  "Hysterectomy for Non-Malignancy, Major Complexity"
"594", "1", "N04B",  "Hysterectomy for Non-Malignancy, Minor Complexity"
"595", "1", "N05A",  "Oophorectomy and Complex Fallopian Tube Procedures for Non-Malignancy, Maj Comp"
"596", "1", "N05B",  "Oophorectomy and Complex Fallopian Tube Procedures for Non-Malignancy, Min Comp"
"597", "1", "N06A",  "Female Reproductive System Reconstructive Procedures, Major Complexity"
"598", "1", "N06B",  "Female Reproductive System Reconstructive Procedures, Minor Complexity"
"599", "1", "N07A",  "Other Uterus and Adnexa Procedures for Non-Malignancy, Major Complexity"
"600", "1", "N07B",  "Other Uterus and Adnexa Procedures for Non-Malignancy, Minor Complexity"
"601", "1", "N08Z",  "Endoscopic and Laparoscopic Procedures, Female Reproductive System"
"602", "1", "N09Z",  "Other Vagina, Cervix and Vulva Procedures"
"603", "1", "N10Z",  "Diagnostic Curettage and Diagnostic Hysteroscopy"
"604", "1", "N11A",  "Other Female Reproductive System OR Procedures, Major Complexity"
"605", "1", "N11B",  "Other Female Reproductive System OR Procedures, Minor Complexity"
"606", "1", "N12A",  "Uterus and Adnexa Procedures for Malignancy, Major Complexity"
"607", "1", "N12B",  "Uterus and Adnexa Procedures for Malignancy, Intermediate Complexity"
"608", "1", "N12C",  "Uterus and Adnexa Procedures for Malignancy, Minor Complexity"
"609", "1", "N60A",  "Female Reproductive System Malignancy, Major Complexity"
"610", "1", "N60B",  "Female Reproductive System Malignancy, Minor Complexity"
"611", "1", "N61A",  "Female Reproductive System Infections, Major Complexity"
"612", "1", "N61B",  "Female Reproductive System Infections, Minor Complexity"
"613", "1", "N62A",  "Menstrual and Other Female Reproductive System Disorders, Major Complexity"
"614", "1", "N62B",  "Menstrual and Other Female Reproductive System Disorders, Minor Complexity"
"615", "1", "O01A",  "Caesarean Delivery, Major Complexity"
"616", "1", "O01B",  "Caesarean Delivery, Intermediate Complexity"
"617", "1", "O01C",  "Caesarean Delivery, Minor Complexity"
"618", "1", "O02A",  "Vaginal Delivery W OR Procedures, Major Complexity"
"619", "1", "O02B",  "Vaginal Delivery W OR Procedures, Minor Complexity"
"620", "1", "O03A",  "Ectopic Pregnancy, Major Complexity"
"621", "1", "O03B",  "Ectopic Pregnancy, Minor Complexity"
"622", "1", "O04A",  "Postpartum and Post Abortion W OR Procedures, Major Complexity"
"623", "1", "O04B",  "Postpartum and Post Abortion W OR Procedures, Minor Complexity"
"624", "1", "O05Z",  "Abortion W OR Procedures"
"625", "1", "O60A",  "Vaginal Delivery, Major Complexity"
"626", "1", "O60B",  "Vaginal Delivery, Intermediate Complexity"
"627", "1", "O60C",  "Vaginal Delivery, Minor Complexity"
"628", "1", "O61A",  "Postpartum and Post Abortion W/O OR Procedures, Major Complexity"
"629", "1", "O61B",  "Postpartum and Post Abortion W/O OR Procedures, Minor Complexity"
"630", "1", "O63A",  "Abortion W/O OR Procedures, Major Complexity"
"631", "1", "O63B",  "Abortion W/O OR Procedures, Minor Complexity"
"632", "1", "O66A",  "Antenatal and Other Obstetric Admissions, Major Complexity"
"633", "1", "O66B",  "Antenatal and Other Obstetric Admissions, Minor Complexity"
"634", "1", "P01Z",  "Neonate W Sig OR Proc/Vent>=96hrs, Died or Transfer to Acute Facility <5Days"
"635", "1", "P02Z",  "Cardiothoracic and Vascular Procedures for Neonates"
"636", "1", "P03A",  "Neonate, AdmWt 1000-1499g W Significant OR Proc/Vent>=96hrs, Major Complexity"
"637", "1", "P03B",  "Neonate, AdmWt 1000-1499g W Significant OR Proc/Vent>=96hrs, Minor Complexity"
"638", "1", "P04A",  "Neonate, AdmWt 1500-1999g W Significant OR Proc/Vent>=96hrs, Major Complexity"
"639", "1", "P04B",  "Neonate, AdmWt 1500-1999g W Significant OR Proc/Vent>=96hrs, Minor Complexity"
"640", "1", "P05A",  "Neonate, AdmWt 2000-2499g W Significant OR Proc/Vent>=96hrs, Major Complexity"
"641", "1", "P05B",  "Neonate, AdmWt 2000-2499g W Significant OR Proc/Vent>=96hrs, Minor Complexity"
"642", "1", "P06A",  "Neonate, AdmWt >=2500g W Significant OR Proc/Vent>=96hrs, Major Complexity"
"643", "1", "P06B",  "Neonate, AdmWt >=2500g W Significant OR Proc/Vent>=96hrs, Minor Complexity"
"644", "1", "P07Z",  "Neonate, AdmWt <750g W Significant OR Procedures"
"645", "1", "P08Z",  "Neonate, AdmWt 750-999g W Significant OR Procedures"
"646", "1", "P60A",  "Neonate W/O Sig OR/Vent>=96hrs, Died/Transfer Acute Facility <5 Days, MajC"
"647", "1", "P60B",  "Neonate W/O Sig OR/Vent>=96hrs, Died/Transfer Acute Facility <5 Days, MinC"
"648", "1", "P61Z",  "Neonate, AdmWt <750g W/O Significant OR procedure"
"649", "1", "P62A",  "Neonate, AdmWt 750-999g W/O Significant OR Procedures, Major Complexity"
"650", "1", "P62B",  "Neonate, AdmWt 750-999g W/O Significant OR Procedures, Minor Complexity"
"651", "1", "P63A",  "Neonate, AdmWt 1000-1249g W/O Significant OR Proc/Vent>=96hrs, Major Complexity"
"652", "1", "P63B",  "Neonate, AdmWt 1000-1249g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity"
"653", "1", "P64A",  "Neonate, AdmWt 1250-1499g W/O Significant OR Proc/Vent>=96hrs, Major Complexity"
"654", "1", "P64B",  "Neonate, AdmWt 1250-1499g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity"
"655", "1", "P65A",  "Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Extreme Comp"
"656", "1", "P65B",  "Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Major Complexity"
"657", "1", "P65C",  "Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Intermediate Comp"
"658", "1", "P65D",  "Neonate, AdmWt 1500-1999g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity"
"659", "1", "P66A",  "Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Extreme Comp"
"660", "1", "P66B",  "Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Major Complexity"
"661", "1", "P66C",  "Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Intermediate Comp"
"662", "1", "P66D",  "Neonate, AdmWt 2000-2499g W/O Significant OR Proc/Vent>=96hrs, Minor Complexity"
"663", "1", "P67A",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Extr Comp"
"664", "1", "P67B",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Maj Comp"
"665", "1", "P67C",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Int Comp"
"666", "1", "P67D",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, <37 Comp Wks Gest, Min Comp"
"667", "1", "P68A",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Ext Comp"
"668", "1", "P68B",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Maj Comp"
"669", "1", "P68C",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Int Comp"
"670", "1", "P68D",  "Neonate, AdmWt >=2500g W/O Sig OR Proc/Vent>=96hrs, >=37 Comp Wks Gest, Min Comp"
"671", "1", "Q01A",  "Splenectomy, Major Complexity"
"672", "1", "Q01B",  "Splenectomy, Minor Complexity"
"673", "1", "Q02A",  "Blood and Immune System Disorders W Other OR Procedures, Major Complexity"
"674", "1", "Q02B",  "Blood and Immune System Disorders W Other OR Procedures, Minor Complexity"
"675", "1", "Q60A",  "Reticuloendothelial and Immunity Disorders, Major Complexity"
"676", "1", "Q60B",  "Reticuloendothelial and Immunity Disorders, Minor Complexity"
"677", "1", "Q61A",  "Red Blood Cell Disorders, Major Complexity"
"678", "1", "Q61B",  "Red Blood Cell Disorders, Intermediate Complexity"
"679", "1", "Q61C",  "Red Blood Cell Disorders, Minor Complexity"
"680", "1", "Q62A",  "Coagulation Disorders, Major Complexity"
"681", "1", "Q62B",  "Coagulation Disorders, Minor Complexity"
"682", "1", "R01A",  "Lymphoma and Leukaemia W Major OR Procedures, Major Complexity"
"683", "1", "R01B",  "Lymphoma and Leukaemia W Major OR Procedures, Minor Complexity"
"684", "1", "R02A",  "Other Neoplastic Disorders W Major OR Procedures, Major Complexity"
"685", "1", "R02B",  "Other Neoplastic Disorders W Major OR Procedures, Intermediate Complexity"
"686", "1", "R02C",  "Other Neoplastic Disorders W Major OR Procedures, Minor Complexity"
"687", "1", "R03A",  "Lymphoma and Leukaemia W Other OR Procedures, Major Complexity"
"688", "1", "R03B",  "Lymphoma and Leukaemia W Other OR Procedures, Intermediate Complexity"
"689", "1", "R03C",  "Lymphoma and Leukaemia W Other OR Procedures, Minor Complexity"
"690", "1", "R04A",  "Other Neoplastic Disorders W Other OR Procedures, Major Complexity"
"691", "1", "R04B",  "Other Neoplastic Disorders W Other OR Procedures, Minor Complexity"
"692", "1", "R60A",  "Acute Leukaemia, Major Complexity"
"693", "1", "R60B",  "Acute Leukaemia, Minor Complexity"
"694", "1", "R61A",  "Lymphoma and Non-Acute Leukaemia, Major Complexity"
"695", "1", "R61B",  "Lymphoma and Non-Acute Leukaemia, Minor Complexity"
"696", "1", "R62A",  "Other Neoplastic Disorders, Major Complexity"
"697", "1", "R62B",  "Other Neoplastic Disorders, Intermediate Complexity"
"698", "1", "R62C",  "Other Neoplastic Disorders, Minor Complexity"
"699", "1", "R63Z",  "Chemotherapy"
"700", "1", "S65A",  "Human Immunodeficiency Virus, Major Complexity"
"701", "1", "S65B",  "Human Immunodeficiency Virus, Intermediate Complexity"
"702", "1", "S65C",  "Human Immunodeficiency Virus, Minor Complexity"
"703", "1", "T01A",  "Infectious and Parasitic Diseases W OR Procedures, Major Complexity"
"704", "1", "T01B",  "Infectious and Parasitic Diseases W OR Procedures, Intermediate Complexity"
"705", "1", "T01C",  "Infectious and Parasitic Diseases W OR Procedures, Minor Complexity"
"706", "1", "T40Z",  "Infectious and Parasitic Diseases W Ventilator Support"
"707", "1", "T60A",  "Septicaemia, Major Complexity"
"708", "1", "T60B",  "Septicaemia, Intermediate Complexity"
"709", "1", "T60C",  "Septicaemia, Minor Complexity"
"710", "1", "T61A",  "Postoperative and Post-Traumatic Infections, Major Complexity"
"711", "1", "T61B",  "Postoperative and Post-Traumatic Infections, Minor Complexity"
"712", "1", "T62A",  "Fever of Unknown Origin, Major Complexity"
"713", "1", "T62B",  "Fever of Unknown Origin, Minor Complexity"
"714", "1", "T63A",  "Viral Illnesses, Major Complexity"
"715", "1", "T63B",  "Viral Illnesses, Minor Complexity"
"716", "1", "T64A",  "Other Infectious and Parasitic Diseases, Major Complexity"
"717", "1", "T64B",  "Other Infectious and Parasitic Diseases, Intermediate Complexity"
"718", "1", "T64C",  "Other Infectious and Parasitic Diseases, Minor Complexity"
"719", "1", "U40Z",  "Mental Health Treatment W ECT, Sameday"
"720", "1", "U60A",  "Mental Health Treatment W/O ECT, Sameday, Major Complexity"
